abs time (s),Fx,Fy,Fz,|Ft|,Ax,Ay,COM px,COM py,COM pz,Fx,Fy,Fz,|Ft|,Ax,Ay,COM px,COM py,COM pz
,N,N,N,N,m,m,N s,N s,N s,N,N,N,N,m,m,N s,N s,N s
0.022917,0.079150,-0.220641,-1.558054,1.575589,0.000000,0.000000,-0.001201,0.001249,-0.021270,-0.197776,-0.185462,-0.098230,0.288376,0.000000,0.000000,0.002615,-0.002145,0.019338
0.023333,0.119167,-0.059428,-2.664909,2.668234,0.000000,0.000000,-0.001256,0.001279,-0.022161,0.082369,0.095706,-0.100183,0.161186,0.000000,0.000000,0.002617,-0.002169,0.019209
0.023750,0.239917,0.020924,-0.612751,0.658378,0.000000,0.000000,-0.001342,0.001295,-0.022646,-0.157675,0.135903,-1.358663,1.374516,0.000000,0.000000,0.002652,-0.002220,0.018818
0.024167,0.159565,-0.261199,-1.876259,1.901061,0.000000,0.000000,-0.001420,0.001365,-0.023198,0.042456,0.095833,-0.097100,0.142880,0.000000,0.000000,0.002660,-0.002262,0.018723
0.024583,0.239790,0.020796,0.175900,0.298115,1.397882,-3.850734,-0.001500,0.001396,-0.023289,-0.117636,0.095748,0.372244,0.401959,0.168809,-0.155049,0.002709,-0.002305,0.018801
0.025000,0.038879,-0.260944,-0.136915,0.297236,0.000000,0.000000,-0.001542,0.001479,-0.023368,-0.277539,0.135945,-0.256179,0.401419,0.000000,0.000000,0.002794,-0.002356,0.018727
0.025417,0.199710,-0.180338,-0.768913,0.814637,0.000000,0.000000,-0.001625,0.001552,-0.023721,0.002229,0.095790,-0.414304,0.425240,0.000000,0.000000,0.002823,-0.002385,0.018697
0.025833,0.360096,-0.060065,-1.873809,1.909040,0.000000,0.000000,-0.001733,0.001571,-0.024338,-0.157612,-0.105237,1.482035,1.494103,-0.202107,-0.293295,0.002853,-0.002372,0.019095
0.026250,-0.081490,0.141451,-0.612751,0.634124,0.000000,0.000000,-0.001749,0.001532,-0.024648,0.202486,0.136072,0.215257,0.325349,-0.859356,0.492094,0.002810,-0.002420,0.019262
0.026667,0.199583,0.060972,-0.139855,0.251217,0.000000,0.000000,-0.001799,0.001506,-0.024717,-0.037558,0.256536,0.057950,0.265668,-2.406656,0.769716,0.002815,-0.002510,0.019429
0.027083,-0.001202,-0.019507,0.176879,0.177956,1.832957,-0.694534,-0.001826,0.001503,-0.024665,-0.117636,0.136072,1.950357,1.958634,-0.103232,-0.087509,0.002844,-0.002567,0.019934
0.027500,0.199646,0.060972,0.178349,0.274563,-0.467407,-5.044052,-0.001896,0.001497,-0.024558,0.082495,0.015565,-0.574543,0.580644,0.000000,0.000000,0.002835,-0.002576,0.019860
0.027917,0.199519,-0.139907,0.651246,0.695344,0.125524,-0.262949,-0.001976,0.001525,-0.024495,-0.077597,-0.064786,-0.727472,0.734462,0.000000,0.000000,0.002862,-0.002569,0.019687
0.028333,0.159375,0.101021,-1.877729,1.887186,0.000000,0.000000,-0.002042,0.001505,-0.024904,-0.157612,0.135987,1.002772,1.024152,0.196782,-0.279718,0.002919,-0.002611,0.019843
0.028750,0.119358,0.020796,0.967000,0.974560,-0.048189,-0.299661,-0.002095,0.001508,-0.024842,-0.117636,0.135987,-1.044343,1.059709,0.000000,0.000000,0.002982,-0.002676,0.019703
0.029167,0.119421,-0.220768,-1.087117,1.115717,0.000000,0.000000,-0.002142,0.001580,-0.025020,-0.277665,0.256494,1.161560,1.221519,-0.195434,0.084476,0.003084,-0.002772,0.020023
0.029583,0.079023,-0.179956,0.808388,0.831937,0.068816,-1.234471,-0.002186,0.001658,-0.025012,-0.237815,0.216297,1.004245,1.054442,-0.128951,-0.064342,0.003177,-0.002862,0.020365
0.030000,0.199646,-0.180593,-2.032911,2.050658,0.000000,0.000000,-0.002255,0.001741,-0.025640,-0.117699,0.176184,-0.259929,0.335346,0.000000,0.000000,0.003251,-0.002930,0.020453
0.030417,0.119231,-0.300993,-1.719117,1.749336,0.000000,0.000000,-0.002311,0.001856,-0.026411,-0.357617,0.055593,1.316442,1.365284,0.056175,0.123651,0.003356,-0.002973,0.020915
0.030833,0.119421,-0.261071,-2.188093,2.206846,0.000000,0.000000,-0.002355,0.001959,-0.027203,0.042268,0.216254,1.636250,1.651020,-0.007518,-0.242182,0.003383,-0.003043,0.021465
0.031250,0.038879,-0.139907,-0.928996,0.940276,0.000000,0.000000,-0.002388,0.002012,-0.027622,-0.197713,0.095790,0.061532,0.228150,-3.208329,-4.517257,0.003437,-0.003100,0.021599
0.031667,0.199583,0.061227,-0.138385,0.250464,0.000000,0.000000,-0.002451,0.002006,-0.027866,-0.037495,0.216466,0.054212,0.226279,-6.234420,13.059960,0.003461,-0.003182,0.021678
0.032083,0.079150,-0.019380,-2.031931,2.033564,0.000000,0.000000,-0.002498,0.002008,-0.028549,0.002355,0.216339,0.848398,0.875549,0.027690,-0.530637,0.003477,-0.003264,0.021998
0.032500,0.159502,-0.019634,-1.558054,1.566320,0.000000,0.000000,-0.002551,0.002011,-0.029154,-0.197713,0.095875,1.162847,1.183425,-0.198147,-0.097334,0.003543,-0.003318,0.022461
0.032917,0.039006,0.061100,-0.452670,0.458437,0.000000,0.000000,-0.002573,0.002002,-0.029441,-0.157612,0.176142,1.165619,1.189342,-0.256471,-0.290163,0.003614,-0.003388,0.022946
0.033333,-0.001075,-0.099731,-0.771853,0.778271,0.000000,0.000000,-0.002578,0.002046,-0.029774,-0.197713,0.216424,1.163362,1.199725,-0.142413,-0.104002,0.003699,-0.003481,0.023464
0.033750,0.039006,-0.301120,-1.245240,1.281725,0.000000,0.000000,-0.002600,0.002141,-0.030205,-0.277539,0.296691,1.637554,1.687198,-0.078175,-0.244614,0.003812,-0.003588,0.024168
0.034167,0.159375,-0.059683,-0.454140,0.484980,0.000000,0.000000,-0.002644,0.002197,-0.030460,-0.317767,0.135987,2.424415,2.448929,-0.092789,-0.093694,0.003933,-0.003636,0.025014
0.034583,-0.041346,-0.260944,-0.612261,0.666832,0.000000,0.000000,-0.002646,0.002278,-0.030748,-0.197588,-0.145180,0.847263,0.882028,-0.038262,-0.249161,0.004027,-0.003612,0.025520
0.035000,0.038879,-0.059683,-1.244260,1.246297,0.000000,0.000000,-0.002659,0.002300,-0.031201,-0.237626,0.095959,1.479930,1.501954,-0.155238,-0.152161,0.004120,-0.003638,0.026126
0.035417,0.079023,0.181372,-0.928996,0.949829,0.000000,0.000000,-0.002676,0.002260,-0.031610,-0.197651,0.136029,1.952025,1.966716,-0.102063,-0.088602,0.004219,-0.003703,0.026884
0.035833,-0.121697,-0.099731,-0.929486,0.942709,0.000000,0.000000,-0.002655,0.002271,-0.032030,-0.397719,0.296775,1.631533,1.705332,0.006465,0.092398,0.004360,-0.003810,0.027532
0.036250,0.119231,0.061354,-1.402382,1.408778,0.000000,0.000000,-0.002683,0.002257,-0.032516,-0.237689,0.216466,0.845778,0.904817,0.043587,-0.270416,0.004462,-0.003909,0.028048
0.036667,0.038943,0.061100,-0.455609,0.461334,0.000000,0.000000,-0.002699,0.002237,-0.032771,-0.117762,0.256578,2.419052,2.435470,-0.015427,0.085659,0.004533,-0.003999,0.028848
0.037083,-0.041409,-0.019252,-0.453650,0.455942,0.000000,0.000000,-0.002699,0.002242,-0.033059,-0.317515,0.055678,0.998869,1.049598,-0.191327,0.606314,0.004637,-0.004042,0.029275
0.037500,0.119294,-0.059810,-1.876259,1.880998,0.000000,0.000000,-0.002718,0.002256,-0.033665,-0.117699,0.136114,-0.259436,0.315732,0.000000,0.000000,0.004698,-0.004093,0.029288
0.037917,-0.161842,0.061481,-0.772834,0.791988,0.000000,0.000000,-0.002681,0.002233,-0.034053,-0.077723,0.136114,0.218848,0.269188,-1.385605,-0.526497,0.004738,-0.004147,0.029466
0.038333,-0.001138,0.141960,-0.614222,0.630414,0.000000,0.000000,-0.002672,0.002193,-0.034320,-0.157549,0.095875,1.953472,1.962158,-0.170296,-0.143400,0.004798,-0.004209,0.030061
0.038750,0.038879,-0.059174,-0.614221,0.618289,0.000000,0.000000,-0.002677,0.002210,-0.034620,-0.157675,0.377127,0.529547,0.668959,-0.563615,0.592460,0.004875,-0.004324,0.030402
0.039167,-0.081490,-0.139780,-1.245730,1.256194,0.000000,0.000000,-0.002660,0.002254,-0.035084,-0.317641,0.055763,0.840584,0.900326,0.048076,0.523987,0.004985,-0.004392,0.030731
0.039583,0.039070,-0.019634,-1.088098,1.088976,0.000000,0.000000,-0.002659,0.002293,-0.035416,-0.157801,0.377042,0.845963,0.939529,-0.353486,0.239555,0.005073,-0.004496,0.031149
0.040000,-0.081680,-0.340914,0.808388,0.881127,0.242696,-0.677705,-0.002634,0.002390,-0.035321,-0.317704,-0.064829,1.790460,1.819584,-0.014693,0.002510,0.005181,-0.004508,0.031917
0.040417,-0.081680,-0.019125,-0.770874,0.775425,0.000000,0.000000,-0.002611,0.002423,-0.035390,-0.117636,0.055763,3.049757,3.052534,-0.055779,0.107194,0.005238,-0.004520,0.032947
0.040833,0.079023,-0.059810,1.281775,1.285600,0.120798,-0.568081,-0.002619,0.002459,-0.035130,-0.037621,0.015565,0.850857,0.851830,-0.670447,0.000221,0.005248,-0.004541,0.033476
0.041250,-0.122015,-0.261199,-0.612261,0.676739,0.000000,0.000000,-0.002585,0.002554,-0.035199,0.122408,0.176184,1.160742,1.180401,-0.156309,0.088381,0.005230,-0.004606,0.033949
0.041667,-0.081490,-0.260944,0.177859,0.326139,1.104177,-4.346329,-0.002565,0.002663,-0.035212,-0.197651,0.216381,1.312995,1.345304,0.151903,0.202910,0.005274,-0.004662,0.034519
0.042083,0.159185,-0.260562,-0.294547,0.424252,0.000000,0.000000,-0.002631,0.002755,-0.035247,0.042456,-0.225617,1.795856,1.810471,-0.283579,0.006295,0.005290,-0.004633,0.035212
0.042500,0.400494,-0.019634,0.495084,0.637094,0.613920,-1.587461,-0.002781,0.002794,-0.035162,-0.197525,0.256578,1.480748,1.515739,-0.201388,-0.157911,0.005341,-0.004700,0.035806
0.042917,0.400621,-0.220514,-0.453159,0.643798,0.000000,0.000000,-0.002928,0.002849,-0.035197,0.002229,0.176311,0.846938,0.865098,-0.128635,-0.138845,0.005354,-0.004785,0.036214
0.043333,0.119231,0.101275,0.809858,0.824829,0.066237,-1.386749,-0.003012,0.002849,-0.035068,0.002355,0.256663,1.006207,1.038429,-0.207317,-0.176421,0.005370,-0.004878,0.036677
0.043750,0.320269,-0.180465,-0.928505,0.998630,0.000000,0.000000,-0.003131,0.002899,-0.035323,-0.237501,0.135987,1.792257,1.813032,-0.164785,0.057959,0.005444,-0.004943,0.037347
0.044167,0.320079,-0.100241,-0.769403,0.839333,0.000000,0.000000,-0.003259,0.002944,-0.035633,-0.117384,0.136029,1.473736,1.484649,-0.159713,0.295106,0.005509,-0.005016,0.037896
0.044583,0.239981,-0.059428,-0.454139,0.517073,0.000000,0.000000,-0.003356,0.002985,-0.035888,-0.237689,0.377085,0.217228,0.495860,-1.359210,0.425198,0.005592,-0.005146,0.038161
0.045000,0.119231,-0.261071,-1.083688,1.121050,0.000000,0.000000,-0.003420,0.003077,-0.036230,-0.117447,0.216297,1.475339,1.495729,-0.069093,-0.006052,0.005657,-0.005247,0.038612
0.045417,0.199583,-0.220896,-0.137405,0.327885,0.000000,0.000000,-0.003494,0.003169,-0.036364,-0.237501,0.216339,0.371586,0.491208,0.008999,0.125672,0.005734,-0.005337,0.038898
0.045833,0.159502,-0.180720,-0.297487,0.382883,0.000000,0.000000,-0.003569,0.003233,-0.036520,-0.037495,0.216381,1.157311,1.177963,-0.148965,0.373315,0.005772,-0.005408,0.039282
0.046250,0.239536,0.020541,-0.926545,0.957228,0.000000,0.000000,-0.003658,0.003233,-0.036863,-0.157549,-0.065040,0.534445,0.560967,-0.436509,-0.403337,0.005824,-0.005409,0.039526
0.046667,0.159312,0.101403,-0.927526,0.946555,0.000000,0.000000,-0.003710,0.003219,-0.037293,-0.077471,0.055635,0.214929,0.235142,0.745973,-1.025735,0.005864,-0.005421,0.039594
0.047083,-0.121824,-0.220641,-1.560014,1.580243,0.000000,0.000000,-0.003701,0.003274,-0.037822,-0.117510,0.015439,-0.415114,0.431702,0.000000,0.000000,0.005908,-0.005441,0.039563
0.047500,0.199456,-0.019507,-0.452179,0.494600,0.000000,0.000000,-0.003754,0.003297,-0.038110,-0.077534,0.176227,1.001465,1.019804,-0.004831,0.048485,0.005962,-0.005486,0.039806
0.047917,0.079023,-0.019634,-0.771364,0.775650,0.000000,0.000000,-0.003781,0.003299,-0.038464,-0.357491,-0.064871,-0.098728,0.376504,0.000000,0.000000,0.006056,-0.005501,0.039841
0.048333,-0.121824,0.061100,-1.557564,1.563516,0.000000,0.000000,-0.003753,0.003257,-0.038970,0.162510,0.296606,-0.096910,0.351818,0.000000,0.000000,0.006027,-0.005580,0.039800
0.048750,-0.001138,0.382379,-0.295527,0.483271,0.000000,0.000000,-0.003736,0.003134,-0.039269,0.122471,0.015565,-0.105242,0.162226,0.000000,0.000000,0.005981,-0.005623,0.039790
