Timestamp,Right_Knee_Angle,Left_Knee_Angle,Right_Hip_Angle,Left_Hip_Angle,Right_Ankle_Angle,Left_Ankle_Angle
9166.666667,179.3839051,179.4964638,174.2066903,174.5829605,117.1575917,141.3128139
9200,179.3769508,179.4270949,174.335092,174.6725419,116.8610731,140.7786132
9233.333333,179.328081,179.3839134,174.0800591,174.7443713,116.6320666,140.2411286
9266.666667,179.2916094,179.3488841,173.7834418,174.816524,115.4832797,140.1457099
9300,179.3624904,179.1138273,173.9346323,175.311732,113.9107072,140.0948568
9333.333333,179.1305516,179.1296379,173.874488,175.2947772,113.3557292,140.123213
9366.666667,179.0111282,179.2024719,173.6863085,175.1843236,113.3048997,140.0519637
9400,178.5005865,179.2196886,173.4184761,175.2203555,115.404554,139.8812795
9433.333333,178.1120425,179.262554,173.2095799,175.1944276,115.3291912,139.6707197
9466.666667,177.7362636,179.334641,172.9616564,175.087242,116.086338,140.0324778
9500,177.4761595,179.338413,173.0525108,175.2256692,117.6604461,140.415334
9533.333333,176.7777863,179.324477,172.8336967,175.2687775,119.0860375,140.9125275
9566.666667,176.7337352,179.2454435,172.7861519,175.3833984,118.7798792,141.4096256
9600,176.680704,179.309521,172.6526038,175.2259675,117.4378617,141.5840449
9633.333333,176.4183332,179.3134777,173.161822,175.2473096,118.3823996,141.6252558
9666.666667,176.3774119,179.4101241,173.4196655,175.0923203,117.3666518,142.3007719
9700,176.3186059,179.5838496,173.4646314,175.0238765,118.3343903,141.7897872
9733.333333,176.3274321,179.8748404,173.5295272,174.8479776,118.9234285,141.8855714
9766.666667,176.5471395,179.8627301,173.7380714,174.7488841,116.3304689,141.7329911
9800,176.8422802,179.6118268,173.8353445,174.720369,115.6664148,141.6549378
9833.333333,176.8969839,179.5838339,174.1349648,174.7337555,115.3905419,141.7429395
9866.666667,176.8164865,179.5681291,174.3406179,174.7290576,115.5969272,141.9010009
9900,176.9150835,179.5259275,174.7249663,174.7254338,115.7996438,142.1849329
9933.333333,176.8474337,179.4671739,174.9310628,174.7504406,116.0468776,142.4536861
9966.666667,176.1349717,179.0264051,174.7072855,174.5797305,116.3687307,142.4697912
10000,174.6952089,178.2360197,173.8881952,174.073399,116.352924,142.0075244
10033.33333,173.8618873,177.9407772,173.1961243,173.7305912,116.0080573,141.9261197
10066.66667,172.6966497,176.9483657,172.4676956,173.1607091,116.0419593,141.1747569
10100,172.1215116,176.3142309,172.0666153,173.0020796,116.6002315,140.7054958
10133.33333,172.0291608,175.9714144,171.9197042,173.2533505,117.1803291,140.6589238
10166.66667,171.872779,176.0586663,172.3320263,174.2630669,117.7957787,140.5032034
10200,171.6861007,175.8123735,172.6055098,174.4132547,118.2239475,140.1895139
10233.33333,170.8880544,175.1670066,172.9651256,174.3010781,119.9812825,140.3475457
10266.66667,170.8134207,175.5286232,173.1721501,174.9208778,122.2397799,140.7215625
10300,171.5118002,175.5044955,173.6695409,175.186838,121.6706271,142.5562585
10333.33333,170.8025135,174.1029423,173.1655875,174.8179295,122.0061948,146.1916761
10366.66667,170.5733253,173.0143962,172.7516417,174.3026555,120.6993901,149.0254106
10400,169.9951354,170.3041502,172.3118504,172.6071195,117.290135,152.2311494
10433.33333,170.0247449,169.5958436,172.0761214,171.9254065,118.0816588,153.0123195
10466.66667,169.4663795,167.7871557,171.5470871,170.639455,122.5385989,154.3654
10500,168.9833928,165.2419761,171.2799257,169.3645663,127.3612214,151.9785941
10533.33333,169.4024962,164.8307907,171.0732551,169.1755076,122.5432904,150.4952732
