abs time (s),Fx,Fy,Fz,|Ft|,Ax,Ay,COM px,COM py,COM pz,Fx,Fy,Fz,|Ft|,Ax,Ay,COM px,COM py,COM pz
,N,N,N,N,m,m,N s,N s,N s,N,N,N,N,m,m,N s,N s,N s
0.031250,1.100306,0.471990,183.266985,183.270896,0.032438,0.166452,-0.241402,-0.004136,26.461644,-1.219691,-0.788256,383.886482,383.889229,0.022328,-0.107398,0.084825,0.094387,54.828089
0.031667,1.301281,0.351335,185.633422,185.638315,0.032864,0.161087,-0.241922,-0.004307,26.538729,-1.459671,-1.109663,383.573158,383.577541,0.021344,-0.106867,0.085417,0.094800,54.987878
0.032083,1.180468,0.592645,184.213758,184.218493,0.032253,0.160763,-0.242411,-0.004532,26.615517,-1.459546,-0.707862,382.782700,382.786137,0.022168,-0.107282,0.086025,0.095142,55.147414
0.032500,1.019891,0.512039,183.265510,183.269063,0.031743,0.161017,-0.242856,-0.004751,26.691944,-1.459671,-0.989072,382.623116,382.627178,0.022091,-0.106568,0.086622,0.095532,55.306874
0.032917,1.140387,0.511912,183.265510,183.269773,0.032792,0.162823,-0.243328,-0.004975,26.768304,-1.299579,-0.949044,382.938377,382.941759,0.022398,-0.107061,0.087186,0.095927,55.466333
0.033333,1.220992,0.673124,183.265018,183.270321,0.033131,0.162777,-0.243837,-0.005219,26.844676,-1.459546,-0.908720,381.838036,381.841906,0.022051,-0.107518,0.087769,0.096309,55.625530
0.033750,1.301217,0.310905,183.425108,183.429987,0.032538,0.162437,-0.244362,-0.005402,26.921180,-1.259541,-0.908720,382.147270,382.150426,0.022699,-0.106564,0.088296,0.096659,55.784824
0.034167,1.140450,0.713555,184.687630,184.692529,0.032716,0.164803,-0.244843,-0.005657,26.998023,-1.099700,-0.506962,383.408844,383.410756,0.022601,-0.106560,0.088779,0.096918,55.944425
0.034583,1.060035,0.512166,184.370896,184.374655,0.032079,0.162148,-0.245315,-0.005882,27.074855,-1.299642,-0.788172,382.467911,382.470931,0.021993,-0.107358,0.089307,0.097241,56.103874
0.035000,1.421650,0.472118,184.212777,184.218868,0.032184,0.161998,-0.245863,-0.006087,27.151512,-1.299642,-0.989072,382.784492,382.787977,0.021628,-0.107243,0.089835,0.097625,56.263356
